Nomber of atoms =  8
Atoms =  ['O', 'O', 'CH3', 'C', 'C', 'H', 'H', 'H']
Valence electrons =  [6, 6, 1, 4, 4, 1, 1, 1]
Fixed electrons =  [[0, 0], [1, 1]]
Good initial graph No.0!
Good goal graph!

 Generated No. and Nodes:
    0,  [[0, 0], [0, 3], [0, 3], [1, 1], [1, 5], [1, 6], [2, 4], [3, 4], [3, 4], [4, 7]]
    1,  [[0, 0], [0, 0], [0, 3], [1, 1], [1, 5], [1, 6], [2, 4], [3, 4], [3, 4], [4, 7]]
    2,  [[0, 0], [0, 0], [0, 5], [1, 1], [1, 3], [1, 3], [2, 4], [3, 4], [3, 4], [4, 6]]
    3,  [[0, 0], [0, 3], [0, 3], [1, 1], [1, 5], [1, 6], [3, 4], [3, 4], [4, 4], [4, 7]]
    4,  [[0, 0], [0, 3], [0, 3], [1, 1], [1, 5], [1, 6], [2, 4], [3, 3], [3, 4], [4, 7]]
    5,  [[0, 0], [0, 3], [0, 3], [1, 1], [1, 5], [1, 6], [2, 4], [3, 4], [4, 4], [4, 7]]
    6,  [[0, 0], [0, 3], [0, 3], [1, 1], [1, 5], [1, 6], [2, 4], [3, 4], [3, 4], [4, 4]]
    7,  [[0, 0], [0, 3], [0, 3], [1, 1], [1, 5], [1, 6], [2, 4], [3, 4], [3, 4], [7, 7]]
    8,  [[0, 0], [0, 0], [0, 3], [1, 3], [1, 5], [1, 6], [2, 4], [3, 4], [3, 4], [4, 7]]
    9,  [[0, 0], [0, 0], [0, 3], [1, 1], [1, 1], [1, 5], [2, 4], [3, 4], [3, 4], [4, 6]]
   10,  [[0, 0], [0, 0], [0, 3], [1, 1], [1, 5], [1, 6], [3, 4], [3, 4], [4, 4], [4, 7]]
   11,  [[0, 0], [0, 0], [0, 3], [1, 1], [1, 5], [1, 6], [2, 4], [3, 3], [3, 4], [4, 7]]
   12,  [[0, 0], [0, 0], [0, 3], [1, 1], [1, 5], [1, 6], [2, 4], [3, 4], [3, 4], [4, 4]]
   13,  [[0, 0], [0, 0], [0, 3], [1, 1], [1, 5], [1, 6], [2, 4], [3, 4], [3, 4], [7, 7]]
   14,  [[0, 0], [0, 0], [0, 5], [1, 3], [1, 3], [1, 6], [2, 4], [3, 4], [3, 4], [4, 7]]
   15,  [[0, 0], [0, 0], [0, 5], [1, 1], [1, 3], [1, 3], [3, 4], [3, 4], [4, 4], [4, 6]]
   16,  [[0, 0], [0, 0], [0, 5], [1, 1], [1, 3], [1, 3], [2, 4], [3, 3], [3, 4], [4, 6]]
   17,  [[0, 0], [0, 0], [0, 5], [1, 1], [1, 3], [1, 3], [2, 4], [3, 4], [4, 4], [4, 6]]
   18,  [[0, 0], [0, 0], [0, 5], [1, 1], [1, 3], [1, 3], [2, 4], [3, 4], [3, 4], [4, 4]]
   19,  [[0, 0], [0, 0], [0, 5], [1, 1], [1, 3], [1, 3], [2, 4], [3, 4], [3, 4], [6, 6]]
   20,  [[0, 0], [0, 5], [0, 6], [1, 2], [1, 3], [1, 3], [3, 4], [3, 4], [4, 4], [4, 7]]
   21,  [[0, 0], [0, 3], [0, 3], [1, 2], [1, 5], [1, 6], [3, 4], [3, 4], [4, 4], [4, 7]]
   22,  [[0, 0], [0, 3], [0, 3], [1, 1], [1, 5], [1, 6], [3, 3], [3, 4], [4, 4], [4, 7]]
   23,  [[0, 0], [0, 3], [0, 3], [1, 1], [1, 5], [1, 6], [3, 4], [3, 4], [4, 4], [7, 7]]
   24,  [[0, 0], [0, 5], [0, 6], [1, 3], [1, 3], [1, 4], [2, 4], [3, 3], [3, 4], [4, 7]]
   25,  [[0, 0], [0, 3], [0, 3], [1, 4], [1, 5], [1, 6], [2, 4], [3, 3], [3, 4], [4, 7]]
   26,  [[0, 0], [0, 3], [0, 3], [1, 1], [1, 5], [1, 6], [2, 4], [3, 3], [4, 4], [4, 7]]
   27,  [[0, 0], [0, 3], [0, 3], [1, 1], [1, 5], [1, 6], [2, 4], [3, 3], [3, 4], [4, 4]]
   28,  [[0, 0], [0, 5], [0, 6], [1, 3], [1, 3], [1, 3], [2, 4], [3, 4], [4, 4], [4, 7]]
   29,  [[0, 0], [0, 3], [0, 3], [1, 3], [1, 5], [1, 6], [2, 4], [3, 4], [4, 4], [4, 7]]
   30,  [[0, 0], [0, 3], [0, 3], [1, 1], [1, 5], [1, 6], [2, 4], [3, 4], [4, 4], [7, 7]]
   31,  [[0, 0], [0, 5], [0, 6], [1, 3], [1, 3], [1, 7], [2, 4], [3, 4], [3, 4], [4, 4]]
   32,  [[0, 0], [0, 3], [0, 3], [1, 5], [1, 6], [1, 7], [2, 4], [3, 4], [3, 4], [4, 4]]
   33,  [[0, 0], [0, 5], [0, 6], [1, 3], [1, 3], [1, 4], [2, 4], [3, 4], [3, 4], [7, 7]]
   34,  [[0, 0], [0, 3], [0, 3], [1, 4], [1, 5], [1, 6], [2, 4], [3, 4], [3, 4], [7, 7]]
   35,  [[0, 0], [0, 0], [0, 3], [1, 1], [1, 3], [1, 5], [2, 4], [3, 4], [3, 4], [4, 6]]
   36,  [[0, 0], [0, 0], [0, 3], [1, 3], [1, 5], [1, 6], [3, 4], [3, 4], [4, 4], [4, 7]]
   37,  [[0, 0], [0, 0], [0, 3], [1, 3], [1, 5], [1, 6], [2, 4], [3, 3], [3, 4], [4, 7]]
   38,  [[0, 0], [0, 0], [0, 3], [1, 3], [1, 5], [1, 6], [2, 4], [3, 4], [4, 4], [4, 7]]
   39,  [[0, 0], [0, 0], [0, 3], [1, 3], [1, 5], [1, 6], [2, 4], [3, 4], [3, 4], [4, 4]]
   40,  [[0, 0], [0, 0], [0, 3], [1, 3], [1, 5], [1, 6], [2, 4], [3, 4], [3, 4], [7, 7]]
   41,  [[0, 0], [0, 0], [0, 5], [1, 1], [1, 3], [1, 6], [2, 4], [3, 4], [3, 4], [4, 7]]
   42,  [[0, 0], [0, 0], [0, 3], [1, 1], [1, 1], [1, 5], [2, 4], [3, 3], [3, 4], [4, 6]]
