Nomber of atoms =  6
Atoms =  ['O', 'N', 'CH3', 'C', 'H', 'H']
Valence electrons =  [6, 5, 1, 4, 1, 1]
Fixed electrons =  [[0, 0]]
Good initial graph No.0!
Good goal graph!

 Generated No. and Nodes:
    0,  [[0, 0], [0, 4], [0, 5], [1, 1], [1, 3], [1, 3], [1, 3], [2, 3]]
    1,  [[0, 0], [0, 0], [0, 4], [1, 1], [1, 3], [1, 3], [1, 3], [2, 3]]
    2,  [[0, 0], [0, 4], [0, 5], [1, 1], [1, 1], [1, 3], [1, 3], [2, 3]]
    3,  [[0, 0], [0, 4], [0, 5], [1, 1], [1, 3], [1, 3], [2, 3], [3, 3]]
    4,  [[0, 0], [0, 4], [0, 5], [1, 1], [1, 3], [1, 3], [1, 3], [3, 3]]
    5,  [[0, 0], [0, 0], [0, 4], [1, 3], [1, 3], [1, 3], [1, 5], [2, 3]]
    6,  [[0, 0], [0, 0], [0, 4], [1, 1], [1, 1], [1, 3], [1, 3], [2, 3]]
    7,  [[0, 0], [0, 0], [0, 4], [1, 1], [1, 3], [1, 3], [2, 3], [3, 3]]
    8,  [[0, 0], [0, 0], [0, 4], [1, 1], [1, 3], [1, 3], [1, 3], [3, 3]]
    9,  [[0, 3], [0, 4], [0, 5], [1, 1], [1, 1], [1, 3], [1, 3], [2, 3]]
   10,  [[0, 0], [0, 4], [0, 5], [1, 1], [1, 1], [1, 3], [2, 3], [3, 3]]
   11,  [[0, 0], [0, 4], [0, 5], [1, 1], [1, 1], [1, 3], [1, 3], [3, 3]]
   12,  [[0, 1], [0, 4], [0, 5], [1, 1], [1, 3], [1, 3], [2, 3], [3, 3]]
   13,  [[0, 2], [0, 4], [0, 5], [1, 1], [1, 3], [1, 3], [1, 3], [3, 3]]
   14,  [[0, 0], [0, 4], [0, 5], [1, 2], [1, 3], [1, 3], [1, 3], [3, 3]]
   15,  [[0, 0], [0, 0], [0, 4], [1, 1], [1, 3], [1, 3], [1, 5], [2, 3]]
   16,  [[0, 0], [0, 0], [0, 4], [1, 3], [1, 3], [1, 3], [1, 5], [3, 3]]
   17,  [[0, 0], [0, 3], [0, 4], [1, 1], [1, 1], [1, 3], [1, 3], [2, 3]]
   18,  [[0, 0], [0, 0], [0, 4], [1, 1], [1, 1], [1, 3], [2, 3], [3, 3]]
   19,  [[0, 0], [0, 0], [0, 4], [1, 1], [1, 1], [1, 3], [1, 3], [3, 3]]
   20,  [[0, 0], [0, 1], [0, 4], [1, 1], [1, 3], [1, 3], [2, 3], [3, 3]]
   21,  [[0, 0], [0, 0], [0, 4], [1, 1], [1, 3], [1, 3], [2, 3], [3, 5]]
   22,  [[0, 0], [0, 2], [0, 4], [1, 1], [1, 3], [1, 3], [1, 3], [3, 3]]
   23,  [[0, 0], [0, 0], [0, 4], [1, 2], [1, 3], [1, 3], [1, 3], [3, 3]]
   24,  [[0, 0], [0, 0], [0, 4], [1, 1], [1, 3], [1, 3], [1, 3], [3, 5]]
