Nomber of atoms =  8
Atoms =  ['X', 'X', 'CH3', 'CH3', 'C', 'C', 'H', 'H']
Valence electrons =  [7, 7, 1, 1, 4, 4, 1, 1]
Fixed electrons =  [[0, 0], [0, 0], [0, 0], [1, 1], [1, 1], [1, 1]]
Good initial graph No.0!
Good goal graph!

 Generated No. and Nodes:
    0,  [[0, 4], [1, 6], [2, 4], [3, 5], [4, 5], [4, 5], [5, 7]]
    1,  [[0, 0], [1, 6], [2, 4], [3, 5], [4, 5], [4, 5], [4, 7]]
    2,  [[0, 0], [1, 4], [2, 4], [3, 5], [4, 5], [4, 5], [5, 6]]
    3,  [[0, 4], [1, 6], [2, 5], [4, 4], [4, 5], [4, 5], [5, 7]]
    4,  [[0, 4], [1, 6], [2, 4], [4, 5], [4, 5], [5, 5], [5, 7]]
    5,  [[0, 4], [1, 6], [2, 4], [3, 5], [4, 4], [4, 5], [5, 7]]
    6,  [[0, 4], [1, 6], [2, 4], [3, 5], [4, 5], [5, 5], [5, 7]]
    7,  [[0, 4], [1, 6], [2, 4], [3, 5], [4, 5], [4, 5], [5, 5]]
    8,  [[0, 4], [1, 6], [2, 4], [3, 5], [4, 5], [4, 5], [7, 7]]
    9,  [[0, 0], [1, 1], [2, 4], [3, 5], [4, 5], [4, 5], [4, 6]]
   10,  [[0, 0], [1, 6], [2, 4], [4, 5], [4, 5], [5, 5], [5, 7]]
   11,  [[0, 0], [1, 6], [2, 4], [4, 5], [4, 5], [4, 7], [5, 5]]
   12,  [[0, 0], [1, 6], [2, 4], [3, 5], [4, 4], [4, 5], [5, 7]]
   13,  [[0, 0], [1, 6], [2, 4], [3, 5], [4, 4], [4, 5], [4, 5]]
   14,  [[0, 0], [1, 6], [2, 4], [3, 5], [4, 5], [4, 5], [7, 7]]
   15,  [[0, 0], [1, 4], [2, 5], [4, 4], [4, 5], [4, 5], [5, 6]]
   16,  [[0, 0], [1, 4], [2, 4], [4, 5], [4, 5], [5, 5], [5, 6]]
