Nomber of atoms =  9
Atoms =  ['O', 'CH3', 'CH3', 'C', 'C', 'H', 'H', 'H', 'H']
Valence electrons =  [6, 1, 1, 4, 4, 1, 1, 1, 1]
Fixed electrons =  [[0, 0]]
Good initial graph No.0!
Good goal graph!

 Generated No. and Nodes:
    0,  [[0, 0], [0, 5], [0, 6], [1, 3], [2, 3], [3, 4], [3, 4], [4, 7], [4, 8]]
    1,  [[0, 0], [0, 0], [0, 5], [1, 3], [2, 3], [3, 4], [3, 4], [4, 6], [4, 7]]
    2,  [[0, 0], [0, 5], [0, 6], [1, 3], [3, 3], [3, 4], [3, 4], [4, 7], [4, 8]]
    3,  [[0, 0], [0, 5], [0, 6], [1, 3], [2, 3], [3, 3], [3, 4], [4, 7], [4, 8]]
    4,  [[0, 0], [0, 5], [0, 6], [1, 3], [2, 3], [3, 4], [4, 4], [4, 7], [4, 8]]
    5,  [[0, 0], [0, 5], [0, 6], [1, 3], [2, 3], [3, 4], [3, 4], [4, 4], [4, 7]]
    6,  [[0, 0], [0, 5], [0, 6], [1, 3], [2, 3], [3, 4], [3, 4], [4, 7], [8, 8]]
    7,  [[0, 0], [0, 0], [0, 5], [1, 3], [3, 3], [3, 4], [3, 4], [4, 6], [4, 7]]
    8,  [[0, 0], [0, 0], [0, 5], [1, 3], [2, 3], [3, 3], [3, 4], [4, 6], [4, 7]]
    9,  [[0, 0], [0, 0], [0, 5], [1, 3], [2, 3], [3, 4], [4, 4], [4, 6], [4, 7]]
   10,  [[0, 0], [0, 0], [0, 5], [1, 3], [2, 3], [3, 4], [3, 4], [4, 4], [4, 6]]
   11,  [[0, 0], [0, 0], [0, 5], [1, 3], [2, 3], [3, 4], [3, 4], [4, 6], [7, 7]]
   12,  [[0, 1], [0, 5], [0, 6], [2, 3], [3, 3], [3, 4], [3, 4], [4, 7], [4, 8]]
   13,  [[0, 0], [0, 5], [0, 6], [1, 3], [3, 3], [3, 4], [4, 4], [4, 7], [4, 8]]
   14,  [[0, 0], [0, 5], [0, 6], [1, 3], [3, 3], [3, 4], [3, 4], [4, 4], [4, 7]]
   15,  [[0, 0], [0, 5], [0, 6], [1, 3], [3, 3], [3, 4], [3, 4], [4, 7], [8, 8]]
   16,  [[0, 3], [0, 5], [0, 6], [1, 4], [2, 4], [3, 4], [3, 7], [3, 8], [4, 4]]
   17,  [[0, 0], [0, 5], [0, 6], [1, 3], [2, 3], [3, 3], [4, 4], [4, 7], [4, 8]]
   18,  [[0, 0], [0, 5], [0, 6], [1, 3], [2, 3], [3, 3], [3, 4], [4, 4], [4, 7]]
   19,  [[0, 3], [0, 5], [0, 6], [1, 3], [2, 3], [3, 4], [4, 4], [4, 7], [4, 8]]
   20,  [[0, 0], [0, 5], [0, 6], [1, 3], [2, 3], [3, 4], [4, 4], [4, 7], [8, 8]]
   21,  [[0, 5], [0, 6], [0, 7], [1, 3], [2, 3], [3, 4], [3, 4], [4, 4], [4, 8]]
   22,  [[0, 0], [0, 5], [0, 6], [1, 3], [2, 3], [3, 4], [3, 4], [4, 4], [7, 7]]
   23,  [[0, 3], [0, 5], [0, 6], [1, 4], [2, 4], [3, 4], [3, 4], [3, 7], [8, 8]]
   24,  [[0, 0], [0, 1], [0, 5], [2, 3], [3, 3], [3, 4], [3, 4], [4, 6], [4, 7]]
