Nomber of atoms =  9
Atoms =  ['O', 'N', 'CH3', 'CH3', 'C', 'C', 'H', 'H', 'H']
Valence electrons =  [6, 5, 1, 1, 4, 4, 1, 1, 1]
Fixed electrons =  [[0, 0]]
Good initial graph No.0!
Good goal graph!

 Generated No. and Nodes:
    0,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 2], [1, 6], [1, 7], [3, 5], [4, 5], [4, 5], [5, 8]]
    1,  [[0, 0], [0, 0], [0, 4], [1, 1], [1, 2], [1, 6], [1, 7], [3, 5], [4, 5], [4, 5], [5, 8]]
    2,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 1], [1, 6], [1, 7], [2, 5], [4, 5], [4, 5], [5, 8]]
    3,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 1], [1, 2], [1, 6], [3, 5], [4, 5], [4, 5], [5, 7]]
    4,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 2], [1, 6], [3, 5], [4, 5], [4, 5], [5, 7], [8, 8]]
    5,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 2], [1, 6], [1, 7], [4, 5], [4, 5], [5, 5], [5, 8]]
    6,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 2], [1, 6], [1, 7], [3, 5], [4, 4], [4, 5], [5, 8]]
    7,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 2], [1, 6], [1, 7], [3, 5], [4, 5], [5, 5], [5, 8]]
    8,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 2], [1, 6], [1, 7], [3, 5], [4, 5], [4, 5], [5, 5]]
    9,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 2], [1, 6], [1, 7], [3, 5], [4, 5], [4, 5], [8, 8]]
   10,  [[0, 0], [0, 0], [0, 4], [1, 2], [1, 4], [1, 6], [1, 7], [3, 5], [4, 5], [4, 5], [5, 8]]
   11,  [[0, 0], [0, 0], [0, 4], [1, 1], [1, 1], [1, 6], [1, 7], [2, 5], [4, 5], [4, 5], [5, 8]]
   12,  [[0, 0], [0, 0], [0, 4], [1, 1], [1, 1], [1, 2], [1, 6], [3, 5], [4, 5], [4, 5], [5, 7]]
   13,  [[0, 0], [0, 0], [0, 4], [1, 1], [1, 2], [1, 6], [3, 5], [4, 5], [4, 5], [5, 7], [8, 8]]
   14,  [[0, 0], [0, 0], [0, 4], [1, 1], [1, 2], [1, 6], [1, 7], [4, 5], [4, 5], [5, 5], [5, 8]]
   15,  [[0, 0], [0, 0], [0, 4], [1, 1], [1, 2], [1, 6], [1, 7], [3, 5], [4, 4], [4, 5], [5, 8]]
   16,  [[0, 0], [0, 0], [0, 4], [1, 1], [1, 2], [1, 6], [1, 7], [3, 5], [4, 5], [4, 5], [5, 5]]
   17,  [[0, 0], [0, 0], [0, 4], [1, 1], [1, 2], [1, 6], [1, 7], [3, 5], [4, 5], [4, 5], [8, 8]]
   18,  [[0, 2], [0, 4], [0, 4], [1, 1], [1, 1], [1, 6], [1, 7], [3, 5], [4, 5], [4, 5], [5, 8]]
   19,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 1], [1, 6], [2, 5], [4, 5], [4, 5], [5, 7], [8, 8]]
   20,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 1], [1, 6], [1, 7], [4, 5], [4, 5], [5, 5], [5, 8]]
   21,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 1], [1, 6], [1, 7], [2, 5], [4, 4], [4, 5], [5, 8]]
   22,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 1], [1, 6], [1, 7], [2, 5], [4, 5], [5, 5], [5, 8]]
   23,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 1], [1, 6], [1, 7], [2, 5], [4, 5], [4, 5], [5, 5]]
   24,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 1], [1, 6], [1, 7], [2, 5], [4, 5], [4, 5], [8, 8]]
   25,  [[0, 4], [0, 4], [0, 6], [1, 1], [1, 1], [1, 2], [1, 7], [3, 5], [4, 5], [4, 5], [5, 8]]
   26,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 1], [1, 2], [3, 5], [4, 5], [4, 5], [5, 6], [7, 7]]
   27,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 1], [1, 2], [1, 6], [4, 5], [4, 5], [5, 5], [5, 7]]
   28,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 1], [1, 2], [1, 6], [3, 5], [4, 4], [4, 5], [5, 7]]
   29,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 1], [1, 2], [1, 6], [3, 5], [4, 5], [5, 5], [5, 7]]
   30,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 1], [1, 2], [1, 6], [3, 5], [4, 5], [4, 5], [5, 5]]
   31,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 1], [1, 2], [1, 6], [3, 5], [4, 5], [4, 5], [7, 7]]
   32,  [[0, 1], [0, 4], [0, 4], [1, 1], [1, 2], [1, 6], [3, 5], [4, 5], [4, 5], [5, 7], [8, 8]]
   33,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 2], [1, 6], [4, 5], [4, 5], [5, 5], [5, 7], [8, 8]]
   34,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 2], [1, 6], [3, 5], [4, 4], [4, 5], [5, 7], [8, 8]]
   35,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 2], [1, 6], [3, 5], [4, 5], [5, 5], [5, 7], [8, 8]]
   36,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 2], [1, 6], [3, 5], [4, 5], [4, 5], [5, 5], [7, 7]]
   37,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 2], [1, 6], [3, 5], [4, 5], [4, 5], [7, 7], [8, 8]]
   38,  [[0, 2], [0, 4], [0, 4], [1, 1], [1, 3], [1, 6], [1, 7], [4, 5], [4, 5], [5, 5], [5, 8]]
   39,  [[0, 0], [0, 4], [0, 4], [1, 2], [1, 3], [1, 6], [1, 7], [4, 5], [4, 5], [5, 5], [5, 8]]
   40,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 2], [1, 6], [1, 7], [4, 4], [4, 5], [5, 5], [5, 8]]
   41,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 2], [1, 6], [1, 7], [4, 5], [4, 5], [5, 5], [8, 8]]
   42,  [[0, 4], [0, 4], [0, 5], [1, 1], [1, 2], [1, 6], [1, 7], [3, 5], [4, 4], [4, 5], [5, 8]]
   43,  [[0, 0], [0, 4], [0, 4], [1, 2], [1, 5], [1, 6], [1, 7], [3, 5], [4, 4], [4, 5], [5, 8]]
