Nomber of atoms =  9
Atoms =  ['O', 'CH3', 'C', 'C', 'H', 'H', 'H', 'H', 'H']
Valence electrons =  [6, 1, 4, 4, 1, 1, 1, 1, 1]
Fixed electrons =  [[0, 0]]
Good initial graph No.0!
Good goal graph!

 Generated No. and Nodes:
    0,  [[0, 0], [0, 2], [0, 4], [1, 2], [2, 3], [2, 5], [3, 6], [3, 7], [3, 8]]
    1,  [[0, 0], [0, 0], [0, 4], [1, 2], [2, 3], [2, 5], [3, 6], [3, 7], [3, 8]]
    2,  [[0, 0], [0, 0], [0, 2], [1, 2], [2, 3], [2, 4], [3, 5], [3, 6], [3, 7]]
    3,  [[0, 0], [0, 2], [0, 4], [2, 2], [2, 3], [2, 5], [3, 6], [3, 7], [3, 8]]
    4,  [[0, 0], [0, 2], [0, 4], [1, 2], [2, 2], [2, 5], [3, 6], [3, 7], [3, 8]]
    5,  [[0, 0], [0, 2], [0, 4], [1, 2], [2, 5], [3, 3], [3, 6], [3, 7], [3, 8]]
    6,  [[0, 0], [0, 2], [0, 4], [1, 2], [2, 2], [2, 3], [3, 5], [3, 6], [3, 7]]
    7,  [[0, 0], [0, 2], [0, 4], [1, 2], [2, 3], [3, 5], [3, 6], [3, 7], [8, 8]]
    8,  [[0, 0], [0, 2], [0, 4], [1, 2], [2, 3], [2, 5], [3, 3], [3, 6], [3, 7]]
    9,  [[0, 0], [0, 2], [0, 4], [1, 2], [2, 3], [2, 5], [3, 6], [3, 7], [8, 8]]
   10,  [[0, 0], [0, 0], [0, 4], [2, 2], [2, 3], [2, 5], [3, 6], [3, 7], [3, 8]]
   11,  [[0, 0], [0, 0], [0, 4], [1, 2], [2, 2], [2, 5], [3, 6], [3, 7], [3, 8]]
   12,  [[0, 0], [0, 0], [0, 4], [1, 2], [2, 2], [2, 3], [3, 5], [3, 6], [3, 7]]
   13,  [[0, 0], [0, 0], [0, 4], [1, 2], [2, 3], [2, 5], [3, 3], [3, 6], [3, 7]]
   14,  [[0, 0], [0, 0], [0, 4], [1, 2], [2, 3], [2, 5], [3, 6], [3, 7], [8, 8]]
   15,  [[0, 0], [0, 0], [0, 2], [2, 2], [2, 3], [2, 4], [3, 5], [3, 6], [3, 7]]
   16,  [[0, 0], [0, 0], [0, 2], [1, 2], [2, 2], [2, 4], [3, 5], [3, 6], [3, 7]]
   17,  [[0, 0], [0, 0], [0, 2], [1, 2], [2, 4], [3, 3], [3, 5], [3, 6], [3, 7]]
   18,  [[0, 0], [0, 0], [0, 2], [1, 2], [2, 2], [2, 3], [3, 4], [3, 5], [3, 6]]
   19,  [[0, 0], [0, 0], [0, 2], [1, 2], [2, 3], [3, 4], [3, 5], [3, 6], [7, 7]]
   20,  [[0, 0], [0, 0], [0, 2], [1, 2], [2, 3], [2, 4], [3, 3], [3, 5], [3, 6]]
   21,  [[0, 0], [0, 0], [0, 2], [1, 2], [2, 3], [2, 4], [3, 5], [3, 6], [7, 7]]
   22,  [[0, 1], [0, 2], [0, 4], [2, 2], [2, 3], [2, 5], [3, 6], [3, 7], [3, 8]]
   23,  [[0, 0], [0, 2], [0, 4], [2, 2], [2, 5], [3, 3], [3, 6], [3, 7], [3, 8]]
   24,  [[0, 0], [0, 2], [0, 4], [2, 2], [2, 3], [3, 5], [3, 6], [3, 7], [8, 8]]
   25,  [[0, 0], [0, 2], [0, 4], [2, 2], [2, 3], [2, 5], [3, 3], [3, 6], [3, 7]]
   26,  [[0, 0], [0, 2], [0, 4], [2, 2], [2, 3], [2, 5], [3, 6], [3, 7], [8, 8]]
   27,  [[0, 2], [0, 3], [0, 4], [1, 2], [2, 2], [2, 5], [3, 6], [3, 7], [3, 8]]
   28,  [[0, 0], [0, 2], [0, 4], [1, 2], [2, 2], [3, 5], [3, 6], [3, 7], [8, 8]]
   29,  [[0, 0], [0, 2], [0, 4], [1, 2], [2, 2], [2, 5], [3, 3], [3, 6], [3, 7]]
   30,  [[0, 2], [0, 2], [0, 4], [1, 2], [2, 5], [3, 3], [3, 6], [3, 7], [3, 8]]
   31,  [[0, 0], [0, 2], [0, 4], [1, 2], [2, 2], [3, 3], [3, 5], [3, 6], [3, 7]]
   32,  [[0, 0], [0, 2], [0, 4], [1, 2], [2, 5], [3, 3], [3, 6], [3, 7], [8, 8]]
   33,  [[0, 2], [0, 4], [0, 5], [1, 2], [2, 2], [2, 3], [3, 6], [3, 7], [3, 8]]
   34,  [[0, 0], [0, 2], [0, 4], [1, 2], [2, 2], [2, 3], [3, 3], [3, 5], [3, 6]]
   35,  [[0, 0], [0, 2], [0, 4], [1, 2], [2, 2], [2, 3], [3, 5], [3, 6], [7, 7]]
   36,  [[0, 2], [0, 2], [0, 4], [1, 2], [2, 3], [3, 5], [3, 6], [3, 7], [8, 8]]
   37,  [[0, 0], [0, 2], [0, 4], [1, 2], [2, 3], [3, 3], [3, 5], [3, 6], [7, 7]]
   38,  [[0, 0], [0, 2], [0, 4], [1, 2], [2, 3], [3, 5], [3, 6], [7, 7], [8, 8]]
   39,  [[0, 2], [0, 4], [0, 5], [1, 2], [2, 3], [2, 6], [3, 3], [3, 7], [3, 8]]
   40,  [[0, 0], [0, 2], [0, 4], [1, 2], [2, 3], [2, 5], [3, 3], [3, 6], [7, 7]]
   41,  [[0, 2], [0, 3], [0, 4], [1, 2], [2, 3], [2, 5], [3, 6], [3, 7], [8, 8]]
   42,  [[0, 0], [0, 1], [0, 4], [2, 2], [2, 3], [2, 5], [3, 6], [3, 7], [3, 8]]
   43,  [[0, 0], [0, 0], [0, 4], [2, 2], [2, 2], [2, 5], [3, 6], [3, 7], [3, 8]]
   44,  [[0, 0], [0, 0], [0, 4], [2, 2], [2, 2], [2, 3], [3, 5], [3, 6], [3, 7]]
   45,  [[0, 0], [0, 0], [0, 4], [2, 2], [2, 3], [2, 5], [2, 6], [3, 3], [3, 7]]
   46,  [[0, 0], [0, 0], [0, 4], [2, 2], [2, 3], [2, 5], [3, 6], [3, 7], [8, 8]]
   47,  [[0, 0], [0, 2], [0, 4], [1, 3], [2, 5], [2, 6], [2, 7], [3, 3], [3, 8]]
   48,  [[0, 0], [0, 0], [0, 4], [1, 2], [2, 2], [2, 2], [3, 5], [3, 6], [3, 7]]
   49,  [[0, 0], [0, 0], [0, 4], [1, 2], [2, 2], [2, 5], [3, 3], [3, 6], [3, 7]]
   50,  [[0, 0], [0, 4], [0, 5], [1, 2], [2, 2], [2, 3], [3, 6], [3, 7], [3, 8]]
   51,  [[0, 0], [0, 0], [0, 4], [1, 2], [2, 2], [2, 3], [3, 3], [3, 5], [3, 6]]
   52,  [[0, 0], [0, 0], [0, 4], [1, 2], [2, 2], [2, 3], [3, 5], [3, 6], [7, 7]]
   53,  [[0, 0], [0, 4], [0, 5], [1, 2], [2, 3], [2, 6], [3, 3], [3, 7], [3, 8]]
   54,  [[0, 0], [0, 0], [0, 4], [1, 2], [2, 3], [2, 3], [2, 5], [3, 6], [3, 7]]
   55,  [[0, 0], [0, 0], [0, 4], [1, 2], [2, 3], [2, 5], [3, 3], [3, 6], [7, 7]]
   56,  [[0, 0], [0, 2], [0, 4], [1, 3], [2, 3], [2, 5], [2, 6], [3, 7], [8, 8]]
   57,  [[0, 0], [0, 0], [0, 4], [1, 2], [2, 3], [2, 5], [2, 6], [3, 7], [3, 8]]
   58,  [[0, 0], [0, 1], [0, 2], [2, 2], [2, 3], [2, 4], [3, 5], [3, 6], [3, 7]]
   59,  [[0, 0], [0, 0], [0, 2], [2, 3], [2, 4], [2, 5], [3, 6], [3, 7], [3, 8]]
   60,  [[0, 0], [0, 0], [0, 2], [2, 2], [2, 4], [3, 3], [3, 5], [3, 6], [3, 7]]
   61,  [[0, 0], [0, 0], [0, 2], [2, 2], [2, 3], [3, 4], [3, 5], [3, 6], [7, 7]]
   62,  [[0, 0], [0, 2], [0, 3], [1, 2], [2, 2], [2, 4], [3, 5], [3, 6], [3, 7]]
   63,  [[0, 0], [0, 0], [0, 2], [1, 2], [2, 4], [2, 5], [3, 6], [3, 7], [3, 8]]
   64,  [[0, 0], [0, 0], [0, 2], [1, 2], [2, 2], [3, 4], [3, 5], [3, 6], [7, 7]]
