Nomber of atoms =  10
Atoms =  ['Ph', 'X', 'M', 'O', 'O', 'O', 'CH2', 'C', 'C', 'H']
Valence electrons =  [3, 7, 1, 6, 6, 6, 2, 4, 4, 1]
Fixed electrons =  [[1, 1], [1, 1], [1, 1], [3, 3], [4, 4], [5, 5]]
Good initial graph No.0!
Good goal graph!

 Generated No. and Nodes:
    0,  [[0, 0], [0, 7], [1, 8], [3, 3], [3, 3], [3, 7], [4, 4], [4, 7], [4, 7], [5, 5], [5, 8], [5, 8], [6, 8], [6, 9]]
    1,  [[0, 2], [0, 7], [1, 8], [3, 3], [3, 3], [3, 7], [4, 4], [4, 7], [4, 7], [5, 5], [5, 8], [5, 8], [6, 8], [6, 9]]
    2,  [[0, 0], [0, 7], [1, 1], [3, 3], [3, 3], [3, 7], [4, 4], [4, 7], [4, 7], [5, 5], [5, 8], [5, 8], [6, 8], [6, 9]]
    3,  [[0, 0], [0, 7], [1, 8], [2, 3], [3, 3], [3, 7], [4, 4], [4, 7], [4, 7], [5, 5], [5, 8], [5, 8], [6, 8], [6, 9]]
    4,  [[0, 0], [0, 7], [1, 8], [2, 3], [3, 7], [3, 7], [4, 4], [4, 4], [4, 7], [5, 5], [5, 8], [5, 8], [6, 8], [6, 9]]
    5,  [[0, 0], [0, 7], [1, 8], [3, 3], [3, 3], [3, 7], [4, 4], [4, 4], [4, 7], [5, 5], [5, 8], [5, 8], [6, 8], [6, 9]]
    6,  [[0, 0], [0, 7], [1, 8], [2, 3], [3, 8], [3, 8], [4, 4], [4, 4], [4, 7], [5, 5], [5, 7], [5, 7], [6, 8], [6, 9]]
    7,  [[0, 0], [0, 7], [1, 8], [3, 3], [3, 3], [3, 7], [4, 4], [4, 4], [4, 8], [5, 5], [5, 7], [5, 7], [6, 8], [6, 9]]
    8,  [[0, 0], [0, 7], [1, 8], [3, 3], [3, 3], [3, 7], [4, 4], [4, 7], [4, 7], [5, 5], [5, 8], [5, 8], [6, 9], [8, 8]]
    9,  [[0, 0], [0, 7], [1, 8], [3, 3], [3, 3], [3, 7], [4, 4], [4, 7], [4, 7], [5, 5], [5, 8], [5, 8], [6, 8], [9, 9]]
   10,  [[0, 0], [0, 2], [1, 7], [3, 3], [3, 3], [3, 8], [4, 4], [4, 7], [4, 7], [5, 5], [5, 8], [5, 8], [6, 7], [6, 9]]
   11,  [[0, 2], [0, 7], [1, 1], [3, 3], [3, 3], [3, 7], [4, 4], [4, 7], [4, 7], [5, 5], [5, 8], [5, 8], [6, 8], [6, 9]]
   12,  [[0, 2], [0, 7], [1, 8], [3, 3], [3, 3], [3, 7], [4, 4], [4, 4], [4, 7], [5, 5], [5, 8], [5, 8], [6, 8], [6, 9]]
   13,  [[0, 2], [0, 7], [1, 8], [3, 3], [3, 3], [3, 7], [4, 4], [4, 4], [4, 8], [5, 5], [5, 7], [5, 7], [6, 8], [6, 9]]
   14,  [[0, 2], [0, 7], [1, 8], [3, 3], [3, 3], [3, 7], [4, 4], [4, 7], [4, 7], [5, 5], [5, 8], [5, 8], [6, 9], [8, 8]]
   15,  [[0, 2], [0, 7], [1, 8], [3, 3], [3, 3], [3, 7], [4, 4], [4, 7], [4, 7], [5, 5], [5, 8], [5, 8], [6, 8], [9, 9]]
   16,  [[0, 7], [0, 8], [1, 1], [3, 3], [3, 3], [3, 7], [4, 4], [4, 7], [4, 7], [5, 5], [5, 8], [5, 8], [6, 8], [6, 9]]
   17,  [[0, 0], [0, 7], [1, 2], [3, 3], [3, 3], [3, 7], [4, 4], [4, 7], [4, 7], [5, 5], [5, 8], [5, 8], [6, 8], [6, 9]]
   18,  [[0, 0], [0, 7], [1, 1], [2, 3], [3, 3], [3, 7], [4, 4], [4, 7], [4, 7], [5, 5], [5, 8], [5, 8], [6, 8], [6, 9]]
   19,  [[0, 0], [0, 7], [1, 1], [3, 3], [3, 7], [3, 7], [4, 4], [4, 7], [4, 8], [5, 5], [5, 8], [5, 8], [6, 8], [6, 9]]
   20,  [[0, 0], [0, 7], [1, 1], [2, 3], [3, 7], [3, 7], [4, 4], [4, 4], [4, 7], [5, 5], [5, 8], [5, 8], [6, 8], [6, 9]]
   21,  [[0, 0], [0, 7], [1, 1], [3, 3], [3, 3], [3, 7], [4, 4], [4, 8], [4, 8], [5, 7], [5, 7], [5, 8], [6, 8], [6, 9]]
   22,  [[0, 0], [0, 7], [1, 1], [2, 3], [3, 8], [3, 8], [4, 4], [4, 4], [4, 7], [5, 5], [5, 7], [5, 7], [6, 8], [6, 9]]
   23,  [[0, 0], [0, 7], [1, 1], [3, 3], [3, 3], [3, 7], [4, 4], [4, 7], [4, 7], [5, 8], [5, 8], [5, 8], [6, 8], [6, 9]]
   24,  [[0, 0], [0, 7], [1, 1], [3, 3], [3, 3], [3, 7], [4, 4], [4, 7], [4, 7], [5, 5], [5, 8], [5, 8], [6, 9], [8, 8]]
   25,  [[0, 0], [0, 7], [1, 8], [2, 3], [3, 3], [3, 3], [4, 4], [4, 7], [4, 7], [5, 5], [5, 8], [5, 8], [6, 8], [6, 9]]
   26,  [[0, 0], [0, 7], [1, 8], [2, 3], [3, 3], [3, 7], [4, 4], [4, 4], [4, 7], [5, 5], [5, 8], [5, 8], [6, 8], [6, 9]]
   27,  [[0, 0], [0, 7], [1, 8], [2, 3], [3, 3], [3, 7], [4, 4], [4, 4], [4, 8], [5, 5], [5, 7], [5, 7], [6, 8], [6, 9]]
   28,  [[0, 0], [0, 7], [1, 8], [2, 3], [3, 3], [3, 7], [4, 4], [4, 7], [4, 7], [5, 5], [5, 8], [5, 8], [6, 9], [8, 8]]
   29,  [[0, 0], [0, 7], [1, 8], [2, 3], [3, 3], [3, 7], [4, 4], [4, 7], [4, 7], [5, 5], [5, 8], [5, 8], [6, 8], [9, 9]]
   30,  [[0, 0], [0, 7], [1, 8], [2, 3], [3, 7], [3, 7], [4, 4], [4, 4], [4, 7], [5, 5], [5, 5], [5, 8], [6, 8], [6, 9]]
   31,  [[0, 0], [0, 7], [1, 8], [2, 3], [3, 7], [3, 7], [4, 4], [4, 4], [4, 7], [5, 5], [5, 8], [5, 8], [6, 9], [8, 8]]
   32,  [[0, 0], [0, 7], [1, 8], [2, 3], [3, 7], [3, 7], [4, 4], [4, 4], [4, 7], [5, 5], [5, 8], [5, 8], [6, 8], [9, 9]]
   33,  [[0, 7], [0, 7], [1, 8], [3, 3], [3, 3], [3, 7], [4, 4], [4, 4], [4, 7], [5, 5], [5, 8], [5, 8], [6, 8], [6, 9]]
   34,  [[0, 0], [0, 7], [1, 8], [2, 3], [3, 8], [3, 8], [4, 4], [4, 4], [4, 7], [5, 5], [5, 5], [5, 7], [6, 8], [6, 9]]
   35,  [[0, 0], [0, 7], [1, 8], [3, 3], [3, 3], [3, 7], [4, 4], [4, 4], [4, 7], [5, 7], [5, 8], [5, 8], [6, 8], [6, 9]]
   36,  [[0, 0], [0, 7], [1, 8], [2, 3], [3, 3], [3, 8], [4, 4], [4, 4], [4, 7], [5, 5], [5, 7], [5, 7], [6, 8], [6, 9]]
   37,  [[0, 0], [0, 7], [1, 8], [2, 3], [3, 8], [3, 8], [4, 4], [4, 4], [4, 7], [5, 5], [5, 7], [5, 7], [6, 9], [8, 8]]
   38,  [[0, 0], [0, 7], [1, 8], [2, 3], [3, 8], [3, 8], [4, 4], [4, 4], [4, 7], [5, 5], [5, 7], [5, 7], [6, 8], [9, 9]]
   39,  [[0, 7], [0, 8], [1, 7], [3, 3], [3, 3], [3, 7], [4, 4], [4, 4], [4, 8], [5, 5], [5, 8], [5, 8], [6, 7], [6, 9]]
   40,  [[0, 0], [0, 7], [1, 8], [3, 3], [3, 3], [3, 8], [4, 4], [4, 7], [4, 7], [5, 5], [5, 7], [5, 8], [6, 8], [6, 9]]
   41,  [[0, 0], [0, 7], [1, 8], [3, 3], [3, 3], [3, 7], [4, 4], [4, 4], [4, 8], [5, 7], [5, 7], [5, 8], [6, 8], [6, 9]]
   42,  [[0, 0], [0, 7], [1, 8], [3, 3], [3, 3], [3, 7], [4, 4], [4, 4], [4, 8], [5, 5], [5, 7], [5, 7], [6, 9], [8, 8]]
   43,  [[0, 6], [0, 7], [1, 8], [3, 3], [3, 3], [3, 7], [4, 4], [4, 7], [4, 7], [5, 5], [5, 8], [5, 8], [6, 9], [8, 8]]
   44,  [[0, 0], [0, 7], [1, 8], [3, 3], [3, 6], [3, 7], [4, 4], [4, 7], [4, 7], [5, 5], [5, 8], [5, 8], [6, 9], [8, 8]]
   45,  [[0, 0], [0, 7], [1, 8], [3, 3], [3, 3], [3, 7], [4, 4], [4, 8], [4, 8], [5, 6], [5, 7], [5, 7], [6, 9], [8, 8]]
   46,  [[0, 0], [0, 7], [1, 8], [3, 3], [3, 3], [3, 7], [4, 4], [4, 7], [4, 7], [5, 6], [5, 8], [5, 8], [6, 9], [8, 8]]
   47,  [[0, 0], [0, 7], [1, 8], [3, 3], [3, 3], [3, 7], [4, 4], [4, 7], [4, 7], [5, 5], [5, 8], [5, 8], [6, 6], [8, 8]]
   48,  [[0, 0], [0, 7], [1, 8], [2, 8], [3, 3], [3, 3], [3, 7], [4, 4], [4, 7], [4, 7], [5, 5], [5, 8], [5, 8], [6, 9]]
   49,  [[0, 6], [0, 7], [1, 8], [3, 3], [3, 3], [3, 7], [4, 4], [4, 7], [4, 7], [5, 5], [5, 8], [5, 8], [6, 8], [9, 9]]
   50,  [[0, 0], [0, 7], [1, 8], [3, 3], [3, 6], [3, 7], [4, 4], [4, 7], [4, 7], [5, 5], [5, 8], [5, 8], [6, 8], [9, 9]]
   51,  [[0, 0], [0, 7], [1, 8], [3, 3], [3, 3], [3, 7], [4, 4], [4, 8], [4, 8], [5, 6], [5, 7], [5, 7], [6, 8], [9, 9]]
   52,  [[0, 0], [0, 7], [1, 8], [3, 3], [3, 3], [3, 7], [4, 4], [4, 7], [4, 7], [5, 6], [5, 8], [5, 8], [6, 8], [9, 9]]
   53,  [[0, 0], [0, 7], [1, 8], [3, 3], [3, 3], [3, 7], [4, 4], [4, 7], [4, 7], [5, 5], [5, 8], [5, 8], [6, 6], [9, 9]]
   54,  [[0, 0], [0, 7], [1, 8], [2, 9], [3, 3], [3, 3], [3, 7], [4, 4], [4, 7], [4, 7], [5, 5], [5, 8], [5, 8], [6, 8]]
   55,  [[0, 0], [0, 2], [1, 1], [3, 3], [3, 3], [3, 7], [4, 4], [4, 7], [4, 7], [5, 5], [5, 8], [5, 8], [6, 8], [6, 9]]
   56,  [[0, 0], [0, 2], [1, 7], [3, 3], [3, 7], [3, 7], [4, 4], [4, 8], [4, 8], [5, 5], [5, 8], [5, 8], [6, 7], [6, 9]]
   57,  [[0, 0], [0, 2], [1, 7], [3, 3], [3, 3], [3, 8], [4, 4], [4, 8], [4, 8], [5, 7], [5, 7], [5, 8], [6, 7], [6, 9]]
   58,  [[0, 0], [0, 2], [1, 7], [3, 3], [3, 3], [3, 7], [4, 4], [4, 4], [4, 8], [5, 5], [5, 8], [5, 8], [6, 7], [6, 9]]
   59,  [[0, 0], [0, 2], [1, 7], [3, 3], [3, 3], [3, 8], [4, 4], [4, 7], [4, 7], [5, 8], [5, 8], [5, 8], [6, 7], [6, 9]]
   60,  [[0, 0], [0, 2], [1, 7], [3, 3], [3, 3], [3, 8], [4, 4], [4, 7], [4, 7], [5, 5], [5, 8], [5, 8], [6, 9], [7, 7]]
   61,  [[0, 0], [0, 2], [1, 7], [3, 3], [3, 3], [3, 8], [4, 4], [4, 7], [4, 7], [5, 5], [5, 8], [5, 8], [6, 7], [9, 9]]
   62,  [[0, 2], [0, 7], [1, 1], [3, 3], [3, 7], [3, 7], [4, 4], [4, 7], [4, 8], [5, 5], [5, 8], [5, 8], [6, 8], [6, 9]]
   63,  [[0, 2], [0, 7], [1, 1], [3, 3], [3, 3], [3, 7], [4, 4], [4, 8], [4, 8], [5, 7], [5, 7], [5, 8], [6, 8], [6, 9]]
   64,  [[0, 2], [0, 7], [1, 1], [3, 3], [3, 3], [3, 7], [4, 4], [4, 7], [4, 7], [5, 8], [5, 8], [5, 8], [6, 8], [6, 9]]
   65,  [[0, 2], [0, 7], [1, 1], [3, 3], [3, 3], [3, 7], [4, 4], [4, 7], [4, 7], [5, 5], [5, 8], [5, 8], [6, 9], [8, 8]]
   66,  [[0, 2], [0, 7], [1, 8], [3, 3], [3, 3], [3, 7], [4, 4], [4, 4], [4, 7], [5, 7], [5, 8], [5, 8], [6, 8], [6, 9]]
   67,  [[0, 2], [0, 7], [1, 8], [3, 3], [3, 3], [3, 8], [4, 4], [4, 7], [4, 7], [5, 5], [5, 7], [5, 8], [6, 8], [6, 9]]
   68,  [[0, 2], [0, 7], [1, 8], [3, 3], [3, 3], [3, 7], [4, 4], [4, 4], [4, 8], [5, 7], [5, 7], [5, 8], [6, 8], [6, 9]]
   69,  [[0, 2], [0, 7], [1, 8], [3, 3], [3, 3], [3, 7], [4, 4], [4, 4], [4, 8], [5, 5], [5, 7], [5, 7], [6, 9], [8, 8]]
   70,  [[0, 2], [0, 7], [1, 8], [3, 3], [3, 6], [3, 7], [4, 4], [4, 7], [4, 7], [5, 5], [5, 8], [5, 8], [6, 9], [8, 8]]
