Nomber of atoms =  11
Atoms =  ['O', 'O', 'N', 'CH3', 'CH3', 'CH3', 'CH2', 'CH2', 'C', 'H', 'H']
Valence electrons =  [6, 6, 5, 1, 1, 1, 2, 2, 4, 1, 1]
Fixed electrons =  [[0, 0], [1, 1]]
Good initial graph No.0!
Good goal graph!

 Generated No. and Nodes:
    0,  [[0, 0], [0, 8], [0, 8], [1, 1], [1, 8], [1, 9], [2, 2], [2, 3], [2, 4], [2, 10], [5, 6], [6, 7], [7, 8]]
    1,  [[0, 0], [0, 0], [0, 8], [1, 1], [1, 8], [1, 9], [2, 2], [2, 3], [2, 4], [2, 10], [5, 6], [6, 7], [7, 8]]
    2,  [[0, 0], [0, 0], [0, 9], [1, 1], [1, 8], [1, 8], [2, 2], [2, 3], [2, 4], [2, 10], [5, 6], [6, 7], [7, 8]]
    3,  [[0, 0], [0, 0], [0, 8], [1, 1], [1, 8], [1, 8], [2, 2], [2, 3], [2, 4], [2, 9], [5, 6], [6, 7], [7, 8]]
    4,  [[0, 0], [0, 8], [0, 8], [1, 1], [1, 8], [1, 9], [2, 2], [2, 2], [2, 3], [2, 10], [4, 6], [6, 7], [7, 8]]
    5,  [[0, 0], [0, 8], [0, 8], [1, 1], [1, 8], [1, 9], [2, 2], [2, 2], [2, 3], [2, 4], [5, 6], [6, 7], [7, 8]]
    6,  [[0, 0], [0, 8], [0, 8], [1, 1], [1, 8], [1, 9], [2, 2], [2, 3], [2, 4], [5, 6], [6, 7], [7, 8], [10, 10]]
    7,  [[0, 0], [0, 8], [0, 8], [1, 1], [1, 8], [1, 9], [2, 2], [2, 3], [2, 4], [2, 10], [5, 6], [6, 7], [8, 8]]
    8,  [[0, 0], [0, 0], [0, 8], [1, 8], [1, 8], [1, 9], [2, 2], [2, 3], [2, 4], [2, 10], [5, 6], [6, 7], [7, 8]]
    9,  [[0, 0], [0, 0], [0, 8], [1, 1], [1, 1], [1, 8], [2, 2], [2, 3], [2, 4], [2, 9], [5, 6], [6, 7], [7, 8]]
   10,  [[0, 0], [0, 0], [0, 8], [1, 1], [1, 8], [1, 9], [2, 3], [2, 4], [2, 8], [2, 10], [5, 6], [6, 7], [7, 8]]
   11,  [[0, 0], [0, 0], [0, 8], [1, 1], [1, 8], [1, 9], [2, 2], [2, 2], [2, 3], [2, 10], [4, 6], [6, 7], [7, 8]]
   12,  [[0, 0], [0, 0], [0, 8], [1, 1], [1, 8], [1, 9], [2, 2], [2, 2], [2, 3], [2, 4], [5, 6], [6, 7], [7, 8]]
   13,  [[0, 0], [0, 0], [0, 8], [1, 1], [1, 8], [1, 9], [2, 2], [2, 3], [2, 4], [5, 6], [6, 7], [7, 8], [10, 10]]
   14,  [[0, 0], [0, 0], [0, 8], [1, 1], [1, 8], [1, 9], [2, 2], [2, 3], [2, 4], [2, 10], [5, 6], [6, 7], [8, 8]]
   15,  [[0, 0], [0, 0], [0, 9], [1, 8], [1, 8], [1, 8], [2, 2], [2, 3], [2, 4], [2, 10], [5, 6], [6, 7], [7, 8]]
   16,  [[0, 0], [0, 0], [0, 9], [1, 1], [1, 8], [1, 8], [2, 3], [2, 4], [2, 8], [2, 10], [5, 6], [6, 7], [7, 8]]
   17,  [[0, 0], [0, 0], [0, 9], [1, 1], [1, 8], [1, 8], [2, 2], [2, 2], [2, 3], [2, 10], [4, 6], [6, 7], [7, 8]]
   18,  [[0, 0], [0, 0], [0, 9], [1, 1], [1, 8], [1, 8], [2, 2], [2, 2], [2, 3], [2, 4], [5, 6], [6, 7], [7, 8]]
   19,  [[0, 0], [0, 0], [0, 9], [1, 1], [1, 8], [1, 8], [2, 2], [2, 3], [2, 4], [5, 6], [6, 7], [7, 8], [10, 10]]
   20,  [[0, 0], [0, 0], [0, 9], [1, 1], [1, 8], [1, 8], [2, 2], [2, 3], [2, 4], [2, 10], [5, 6], [6, 7], [8, 8]]
   21,  [[0, 0], [0, 0], [0, 8], [1, 1], [1, 8], [1, 8], [2, 3], [2, 4], [2, 9], [2, 10], [5, 6], [6, 7], [7, 8]]
   22,  [[0, 0], [0, 0], [0, 8], [1, 1], [1, 8], [1, 8], [2, 2], [2, 2], [2, 3], [2, 9], [4, 6], [6, 7], [7, 8]]
   23,  [[0, 0], [0, 0], [0, 8], [1, 1], [1, 8], [1, 8], [2, 2], [2, 2], [2, 3], [2, 4], [5, 6], [6, 7], [7, 8]]
   24,  [[0, 0], [0, 0], [0, 8], [1, 1], [1, 8], [1, 8], [2, 2], [2, 3], [2, 4], [5, 6], [6, 7], [7, 8], [9, 9]]
   25,  [[0, 0], [0, 0], [0, 8], [1, 1], [1, 8], [1, 8], [2, 2], [2, 3], [2, 4], [2, 9], [5, 6], [6, 7], [8, 8]]
   26,  [[0, 0], [0, 8], [0, 9], [1, 3], [1, 8], [1, 8], [2, 2], [2, 2], [2, 4], [2, 10], [5, 6], [6, 7], [7, 8]]
   27,  [[0, 0], [0, 8], [0, 8], [1, 3], [1, 8], [1, 9], [2, 2], [2, 2], [2, 4], [2, 10], [5, 6], [6, 7], [7, 8]]
   28,  [[0, 0], [0, 8], [0, 8], [1, 1], [1, 8], [1, 9], [2, 2], [2, 2], [2, 3], [4, 6], [6, 7], [7, 8], [10, 10]]
   29,  [[0, 0], [0, 8], [0, 8], [1, 1], [1, 8], [1, 9], [2, 2], [2, 2], [2, 3], [2, 10], [4, 6], [6, 7], [8, 8]]
   30,  [[0, 0], [0, 8], [0, 9], [1, 8], [1, 8], [1, 10], [2, 2], [2, 2], [2, 3], [2, 4], [5, 6], [6, 7], [7, 8]]
   31,  [[0, 0], [0, 8], [0, 8], [1, 8], [1, 9], [1, 10], [2, 2], [2, 2], [2, 3], [2, 4], [5, 6], [6, 7], [7, 8]]
   32,  [[0, 0], [0, 8], [0, 8], [1, 1], [1, 8], [1, 9], [2, 2], [2, 2], [2, 3], [2, 4], [5, 6], [6, 7], [8, 8]]
   33,  [[0, 0], [0, 8], [0, 9], [1, 2], [1, 8], [1, 8], [2, 2], [2, 3], [2, 4], [5, 6], [6, 7], [7, 8], [10, 10]]
   34,  [[0, 0], [0, 8], [0, 8], [1, 2], [1, 8], [1, 9], [2, 2], [2, 3], [2, 4], [5, 6], [6, 7], [7, 8], [10, 10]]
   35,  [[0, 0], [0, 8], [0, 8], [1, 1], [1, 8], [1, 9], [2, 2], [2, 3], [2, 4], [5, 6], [6, 7], [8, 8], [10, 10]]
   36,  [[0, 0], [0, 8], [0, 9], [1, 6], [1, 8], [1, 8], [2, 2], [2, 3], [2, 4], [2, 10], [5, 7], [6, 7], [8, 8]]
   37,  [[0, 0], [0, 8], [0, 8], [1, 6], [1, 8], [1, 9], [2, 2], [2, 3], [2, 4], [2, 10], [5, 7], [6, 7], [8, 8]]
   38,  [[0, 0], [0, 8], [0, 8], [1, 1], [1, 8], [1, 9], [2, 3], [2, 4], [2, 6], [2, 10], [5, 7], [6, 7], [8, 8]]
   39,  [[0, 0], [0, 8], [0, 8], [1, 1], [1, 8], [1, 9], [2, 2], [2, 3], [2, 4], [2, 10], [5, 6], [7, 7], [8, 8]]
   40,  [[0, 0], [0, 0], [0, 8], [1, 8], [1, 8], [1, 9], [2, 2], [2, 2], [2, 3], [2, 10], [4, 6], [6, 7], [7, 8]]
   41,  [[0, 0], [0, 0], [0, 8], [1, 8], [1, 8], [1, 9], [2, 2], [2, 2], [2, 3], [2, 4], [5, 6], [6, 7], [7, 8]]
   42,  [[0, 0], [0, 0], [0, 8], [1, 8], [1, 8], [1, 9], [2, 2], [2, 3], [2, 4], [5, 6], [6, 7], [7, 8], [10, 10]]
   43,  [[0, 0], [0, 0], [0, 8], [1, 8], [1, 8], [1, 9], [2, 2], [2, 3], [2, 4], [2, 10], [5, 6], [6, 7], [8, 8]]
   44,  [[0, 0], [0, 0], [0, 8], [1, 1], [1, 1], [1, 8], [2, 3], [2, 4], [2, 8], [2, 9], [5, 6], [6, 7], [7, 8]]
   45,  [[0, 0], [0, 0], [0, 8], [1, 1], [1, 1], [1, 8], [2, 3], [2, 4], [2, 9], [2, 10], [5, 6], [6, 7], [7, 8]]
   46,  [[0, 0], [0, 0], [0, 8], [1, 1], [1, 1], [1, 8], [2, 2], [2, 3], [2, 4], [2, 9], [5, 6], [6, 7], [8, 8]]
   47,  [[0, 0], [0, 0], [0, 8], [1, 1], [1, 1], [1, 9], [2, 3], [2, 4], [2, 8], [2, 10], [5, 6], [6, 7], [7, 8]]
   48,  [[0, 0], [0, 0], [0, 8], [1, 1], [1, 8], [1, 9], [2, 2], [2, 3], [2, 8], [2, 10], [4, 6], [6, 7], [7, 8]]
   49,  [[0, 0], [0, 0], [0, 8], [1, 1], [1, 8], [1, 9], [2, 2], [2, 3], [2, 4], [2, 8], [5, 6], [6, 7], [7, 8]]
   50,  [[0, 0], [0, 0], [0, 8], [1, 1], [1, 8], [1, 9], [2, 3], [2, 4], [2, 8], [2, 10], [5, 6], [6, 7], [8, 8]]
